Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Neo4jSolution;Q1;1;0;0;Load;Time;9959179378
Neo4jSolution;Q1;1;0;0;Initial;Time;2820740498
Neo4jSolution;Q1;1;0;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;1;Update;Time;61009821
Neo4jSolution;Q1;1;0;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;2;Update;Time;18715026
Neo4jSolution;Q1;1;0;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;3;Update;Time;16668874
Neo4jSolution;Q1;1;0;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;4;Update;Time;17845169
Neo4jSolution;Q1;1;0;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;5;Update;Time;16946435
Neo4jSolution;Q1;1;0;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;6;Update;Time;18765245
Neo4jSolution;Q1;1;0;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;7;Update;Time;16953888
Neo4jSolution;Q1;1;0;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;8;Update;Time;22472599
Neo4jSolution;Q1;1;0;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;9;Update;Time;16174357
Neo4jSolution;Q1;1;0;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;10;Update;Time;23191865
Neo4jSolution;Q1;1;0;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;11;Update;Time;14302509
Neo4jSolution;Q1;1;0;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;12;Update;Time;12475679
Neo4jSolution;Q1;1;0;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;0;13;Update;Time;10450926
Neo4jSolution;Q1;1;0;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;14;Update;Time;19219785
Neo4jSolution;Q1;1;0;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;15;Update;Time;11015366
Neo4jSolution;Q1;1;0;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;16;Update;Time;8439569
Neo4jSolution;Q1;1;0;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;17;Update;Time;11822265
Neo4jSolution;Q1;1;0;17;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;18;Update;Time;14740066
Neo4jSolution;Q1;1;0;18;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;19;Update;Time;13464714
Neo4jSolution;Q1;1;0;19;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;0;20;Update;Time;8026710
Neo4jSolution;Q1;1;0;20;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;0;Load;Time;9689233631
Neo4jSolution;Q1;1;1;0;Initial;Time;2728180607
Neo4jSolution;Q1;1;1;0;Initial;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;1;Update;Time;61471241
Neo4jSolution;Q1;1;1;1;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;2;Update;Time;17660440
Neo4jSolution;Q1;1;1;2;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;3;Update;Time;15119253
Neo4jSolution;Q1;1;1;3;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;4;Update;Time;17867887
Neo4jSolution;Q1;1;1;4;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;5;Update;Time;15590941
Neo4jSolution;Q1;1;1;5;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;6;Update;Time;17697109
Neo4jSolution;Q1;1;1;6;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;7;Update;Time;15335624
Neo4jSolution;Q1;1;1;7;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;8;Update;Time;19463617
Neo4jSolution;Q1;1;1;8;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;9;Update;Time;13931590
Neo4jSolution;Q1;1;1;9;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;10;Update;Time;21505222
Neo4jSolution;Q1;1;1;10;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;11;Update;Time;13369310
Neo4jSolution;Q1;1;1;11;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;12;Update;Time;12473545
Neo4jSolution;Q1;1;1;12;Update;Elements;167197|404236|404315
Neo4jSolution;Q1;1;1;13;Update;Time;10640969
Neo4jSolution;Q1;1;1;13;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;14;Update;Time;18739964
Neo4jSolution;Q1;1;1;14;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;15;Update;Time;11152699
Neo4jSolution;Q1;1;1;15;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;16;Update;Time;8288832
Neo4jSolution;Q1;1;1;16;Update;Elements;404236|167197|404315
Neo4jSolution;Q1;1;1;17;Update;Time;12623937
