Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;0;0;Initialization;Time;297679900
NMF;Q1;1;0;0;Initialization;Memory;63528960
NMF;Q1;1;0;0;Load;Time;41888300
NMF;Q1;1;0;0;Load;Memory;66768896
NMF;Q1;1;0;0;Initial;Time;9107000
NMF;Q1;1;0;0;Initial;Memory;66768896
NMF;Q1;1;0;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;0;1;Update;Time;2740300
NMF;Q1;1;0;1;Update;Memory;67358720
NMF;Q1;1;0;1;Update;Elements;404236|167197|404315
NMF;Q1;1;0;2;Update;Time;3292100
NMF;Q1;1;0;2;Update;Memory;67358720
NMF;Q1;1;0;2;Update;Elements;404236|167197|404315
NMF;Q1;1;0;3;Update;Time;1450300
NMF;Q1;1;0;3;Update;Memory;67358720
NMF;Q1;1;0;3;Update;Elements;404236|167197|404315
NMF;Q1;1;0;4;Update;Time;1421900
NMF;Q1;1;0;4;Update;Memory;67358720
NMF;Q1;1;0;4;Update;Elements;167197|404236|404315
NMF;Q1;1;0;5;Update;Time;1417600
NMF;Q1;1;0;5;Update;Memory;67358720
NMF;Q1;1;0;5;Update;Elements;167197|404236|404315
NMF;Q1;1;0;6;Update;Time;1506100
NMF;Q1;1;0;6;Update;Memory;67358720
NMF;Q1;1;0;6;Update;Elements;167197|404236|404315
NMF;Q1;1;0;7;Update;Time;1463500
NMF;Q1;1;0;7;Update;Memory;67358720
NMF;Q1;1;0;7;Update;Elements;167197|404236|404315
NMF;Q1;1;0;8;Update;Time;1471500
NMF;Q1;1;0;8;Update;Memory;67358720
NMF;Q1;1;0;8;Update;Elements;167197|404236|404315
NMF;Q1;1;0;9;Update;Time;1458100
NMF;Q1;1;0;9;Update;Memory;67358720
NMF;Q1;1;0;9;Update;Elements;167197|404236|404315
NMF;Q1;1;0;10;Update;Time;1467400
NMF;Q1;1;0;10;Update;Memory;67358720
NMF;Q1;1;0;10;Update;Elements;167197|404236|404315
NMF;Q1;1;0;11;Update;Time;1460000
NMF;Q1;1;0;11;Update;Memory;67358720
NMF;Q1;1;0;11;Update;Elements;167197|404236|404315
NMF;Q1;1;0;12;Update;Time;1462300
NMF;Q1;1;0;12;Update;Memory;67358720
NMF;Q1;1;0;12;Update;Elements;167197|404236|404315
NMF;Q1;1;0;13;Update;Time;1469600
NMF;Q1;1;0;13;Update;Memory;67358720
NMF;Q1;1;0;13;Update;Elements;404236|167197|404315
NMF;Q1;1;0;14;Update;Time;1517400
NMF;Q1;1;0;14;Update;Memory;67358720
NMF;Q1;1;0;14;Update;Elements;404236|167197|404315
NMF;Q1;1;0;15;Update;Time;1484500
NMF;Q1;1;0;15;Update;Memory;67358720
NMF;Q1;1;0;15;Update;Elements;404236|167197|404315
NMF;Q1;1;0;16;Update;Time;1469200
NMF;Q1;1;0;16;Update;Memory;67358720
NMF;Q1;1;0;16;Update;Elements;404236|167197|404315
NMF;Q1;1;0;17;Update;Time;1468300
NMF;Q1;1;0;17;Update;Memory;67358720
NMF;Q1;1;0;17;Update;Elements;404236|167197|404315
NMF;Q1;1;0;18;Update;Time;1489300
NMF;Q1;1;0;18;Update;Memory;67358720
NMF;Q1;1;0;18;Update;Elements;404236|167197|404315
NMF;Q1;1;0;19;Update;Time;1491100
NMF;Q1;1;0;19;Update;Memory;67358720
NMF;Q1;1;0;19;Update;Elements;404236|167197|404315
NMF;Q1;1;0;20;Update;Time;1496800
NMF;Q1;1;0;20;Update;Memory;67358720
NMF;Q1;1;0;20;Update;Elements;404236|167197|404315
NMF;Q1;1;1;0;Initialization;Time;292646100
NMF;Q1;1;1;0;Initialization;Memory;63873024
NMF;Q1;1;1;0;Load;Time;41359800
NMF;Q1;1;1;0;Load;Memory;66736128
NMF;Q1;1;1;0;Initial;Time;8918400
NMF;Q1;1;1;0;Initial;Memory;66736128
NMF;Q1;1;1;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;1;1;Update;Time;2653700
NMF;Q1;1;1;1;Update;Memory;67321856
NMF;Q1;1;1;1;Update;Elements;404236|167197|404315
NMF;Q1;1;1;2;Update;Time;3219700
NMF;Q1;1;1;2;Update;Memory;67321856
NMF;Q1;1;1;2;Update;Elements;404236|167197|404315
NMF;Q1;1;1;3;Update;Time;1415500
NMF;Q1;1;1;3;Update;Memory;67321856
NMF;Q1;1;1;3;Update;Elements;404236|167197|404315
NMF;Q1;1;1;4;Update;Time;1352900
NMF;Q1;1;1;4;Update;Memory;67321856
NMF;Q1;1;1;4;Update;Elements;167197|404236|404315
NMF;Q1;1;1;5;Update;Time;1370900
