Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
EMFSolutionXtend;Q1;1;0;0;Initialization;Time;325564906
EMFSolutionXtend;Q1;1;0;0;Initialization;Memory;6004992
EMFSolutionXtend;Q1;1;0;0;Load;Time;292612591
EMFSolutionXtend;Q1;1;0;0;Load;Memory;7190848
EMFSolutionXtend;Q1;1;0;0;Initial;Time;186943963
EMFSolutionXtend;Q1;1;0;0;Initial;Memory;10852440
EMFSolutionXtend;Q1;1;0;0;Initial;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;1;Update;Time;47712703
EMFSolutionXtend;Q1;1;0;1;Update;Memory;10877640
EMFSolutionXtend;Q1;1;0;1;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;2;Update;Time;43514517
EMFSolutionXtend;Q1;1;0;2;Update;Memory;10883056
EMFSolutionXtend;Q1;1;0;2;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;3;Update;Time;34066471
EMFSolutionXtend;Q1;1;0;3;Update;Memory;10881432
EMFSolutionXtend;Q1;1;0;3;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;4;Update;Time;34238915
EMFSolutionXtend;Q1;1;0;4;Update;Memory;10886192
EMFSolutionXtend;Q1;1;0;4;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;5;Update;Time;32190917
EMFSolutionXtend;Q1;1;0;5;Update;Memory;10890984
EMFSolutionXtend;Q1;1;0;5;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;6;Update;Time;32871274
EMFSolutionXtend;Q1;1;0;6;Update;Memory;10896288
EMFSolutionXtend;Q1;1;0;6;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;7;Update;Time;10681353
EMFSolutionXtend;Q1;1;0;7;Update;Memory;10901120
EMFSolutionXtend;Q1;1;0;7;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;8;Update;Time;13630451
EMFSolutionXtend;Q1;1;0;8;Update;Memory;10911384
EMFSolutionXtend;Q1;1;0;8;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;9;Update;Time;7842083
EMFSolutionXtend;Q1;1;0;9;Update;Memory;10914928
EMFSolutionXtend;Q1;1;0;9;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;10;Update;Time;18687210
EMFSolutionXtend;Q1;1;0;10;Update;Memory;10922344
EMFSolutionXtend;Q1;1;0;10;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;11;Update;Time;15599087
EMFSolutionXtend;Q1;1;0;11;Update;Memory;10930160
EMFSolutionXtend;Q1;1;0;11;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;12;Update;Time;8476733
EMFSolutionXtend;Q1;1;0;12;Update;Memory;10934448
EMFSolutionXtend;Q1;1;0;12;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;0;13;Update;Time;9403525
EMFSolutionXtend;Q1;1;0;13;Update;Memory;10936896
EMFSolutionXtend;Q1;1;0;13;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;14;Update;Time;8117814
EMFSolutionXtend;Q1;1;0;14;Update;Memory;10943312
EMFSolutionXtend;Q1;1;0;14;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;15;Update;Time;6981404
EMFSolutionXtend;Q1;1;0;15;Update;Memory;10958040
EMFSolutionXtend;Q1;1;0;15;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;16;Update;Time;6921645
EMFSolutionXtend;Q1;1;0;16;Update;Memory;10959592
EMFSolutionXtend;Q1;1;0;16;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;17;Update;Time;7095636
EMFSolutionXtend;Q1;1;0;17;Update;Memory;10965856
EMFSolutionXtend;Q1;1;0;17;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;18;Update;Time;6817692
EMFSolutionXtend;Q1;1;0;18;Update;Memory;10974232
EMFSolutionXtend;Q1;1;0;18;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;19;Update;Time;11699902
EMFSolutionXtend;Q1;1;0;19;Update;Memory;10979816
EMFSolutionXtend;Q1;1;0;19;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;0;20;Update;Time;10267182
EMFSolutionXtend;Q1;1;0;20;Update;Memory;10980672
EMFSolutionXtend;Q1;1;0;20;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;0;Initialization;Time;328316454
EMFSolutionXtend;Q1;1;1;0;Initialization;Memory;6005208
EMFSolutionXtend;Q1;1;1;0;Load;Time;334450562
EMFSolutionXtend;Q1;1;1;0;Load;Memory;7193568
EMFSolutionXtend;Q1;1;1;0;Initial;Time;197274043
EMFSolutionXtend;Q1;1;1;0;Initial;Memory;10853952
EMFSolutionXtend;Q1;1;1;0;Initial;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;1;Update;Time;44067050
EMFSolutionXtend;Q1;1;1;1;Update;Memory;10876080
EMFSolutionXtend;Q1;1;1;1;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;2;Update;Time;42549393
EMFSolutionXtend;Q1;1;1;2;Update;Memory;10881416
EMFSolutionXtend;Q1;1;1;2;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;3;Update;Time;35308111
EMFSolutionXtend;Q1;1;1;3;Update;Memory;10884136
EMFSolutionXtend;Q1;1;1;3;Update;Elements;404236|167197|404315
EMFSolutionXtend;Q1;1;1;4;Update;Time;24178295
EMFSolutionXtend;Q1;1;1;4;Update;Memory;10888912
EMFSolutionXtend;Q1;1;1;4;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;5;Update;Time;11315528
EMFSolutionXtend;Q1;1;1;5;Update;Memory;10893768
EMFSolutionXtend;Q1;1;1;5;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;6;Update;Time;16494666
EMFSolutionXtend;Q1;1;1;6;Update;Memory;10899072
EMFSolutionXtend;Q1;1;1;6;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;7;Update;Time;14288847
EMFSolutionXtend;Q1;1;1;7;Update;Memory;10903088
EMFSolutionXtend;Q1;1;1;7;Update;Elements;167197|404236|404315
EMFSolutionXtend;Q1;1;1;8;Update;Time;20223530
EMFSolutionXtend;Q1;1;1;8;Update;Memory;10910488
