Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
SQLSolution;Q1;1;0;0;Initialization;Time;1674174110
SQLSolution;Q1;1;0;0;Load;Time;378725141
SQLSolution;Q1;1;0;0;Initial;Time;17644303
SQLSolution;Q1;1;0;0;Initial;Elements;404236|167197|404315
SQLSolution;Q1;1;0;1;Update;Time;22100994
SQLSolution;Q1;1;0;1;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;2;Update;Time;14796932
SQLSolution;Q1;1;0;2;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;3;Update;Time;11916183
SQLSolution;Q1;1;0;3;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;4;Update;Time;11504033
SQLSolution;Q1;1;0;4;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;5;Update;Time;11350753
SQLSolution;Q1;1;0;5;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;6;Update;Time;11715026
SQLSolution;Q1;1;0;6;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;7;Update;Time;8439079
SQLSolution;Q1;1;0;7;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;8;Update;Time;29462924
SQLSolution;Q1;1;0;8;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;9;Update;Time;8226477
SQLSolution;Q1;1;0;9;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;10;Update;Time;9062565
SQLSolution;Q1;1;0;10;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;11;Update;Time;9842217
SQLSolution;Q1;1;0;11;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;12;Update;Time;8246778
SQLSolution;Q1;1;0;12;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;13;Update;Time;8710584
SQLSolution;Q1;1;0;13;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;14;Update;Time;22766244
SQLSolution;Q1;1;0;14;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;15;Update;Time;8712961
SQLSolution;Q1;1;0;15;Update;Elements;404236|167197|404315
