Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Naiad-1-Thread;Q1;1;0;0;Initialization;Time;560996100
Naiad-1-Thread;Q1;1;0;0;Initialization;Memory;34111488
Naiad-1-Thread;Q1;1;0;0;Load;Time;49335900
Naiad-1-Thread;Q1;1;0;0;Load;Memory;35491840
Naiad-1-Thread;Q1;1;0;0;Initial;Time;676555400
Naiad-1-Thread;Q1;1;0;0;Initial;Memory;63741952
Naiad-1-Thread;Q1;1;0;0;Initial;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;1;Update;Time;11262800
Naiad-1-Thread;Q1;1;0;1;Update;Memory;67543040
Naiad-1-Thread;Q1;1;0;1;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;2;Update;Time;3124000
Naiad-1-Thread;Q1;1;0;2;Update;Memory;67584000
Naiad-1-Thread;Q1;1;0;2;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;3;Update;Time;2516100
Naiad-1-Thread;Q1;1;0;3;Update;Memory;67641344
Naiad-1-Thread;Q1;1;0;3;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;4;Update;Time;1203800
Naiad-1-Thread;Q1;1;0;4;Update;Memory;67645440
Naiad-1-Thread;Q1;1;0;4;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;5;Update;Time;1359800
Naiad-1-Thread;Q1;1;0;5;Update;Memory;67657728
Naiad-1-Thread;Q1;1;0;5;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;6;Update;Time;1688100
Naiad-1-Thread;Q1;1;0;6;Update;Memory;67661824
Naiad-1-Thread;Q1;1;0;6;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;7;Update;Time;13224900
Naiad-1-Thread;Q1;1;0;7;Update;Memory;67694592
Naiad-1-Thread;Q1;1;0;7;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;8;Update;Time;1514900
Naiad-1-Thread;Q1;1;0;8;Update;Memory;67698688
Naiad-1-Thread;Q1;1;0;8;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;9;Update;Time;1147800
Naiad-1-Thread;Q1;1;0;9;Update;Memory;67706880
Naiad-1-Thread;Q1;1;0;9;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;10;Update;Time;1260300
Naiad-1-Thread;Q1;1;0;10;Update;Memory;67710976
Naiad-1-Thread;Q1;1;0;10;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;11;Update;Time;1249000
Naiad-1-Thread;Q1;1;0;11;Update;Memory;67715072
Naiad-1-Thread;Q1;1;0;11;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;12;Update;Time;1534700
Naiad-1-Thread;Q1;1;0;12;Update;Memory;69300224
Naiad-1-Thread;Q1;1;0;12;Update;Elements;167197|404236|404315
Naiad-1-Thread;Q1;1;0;13;Update;Time;1048300
Naiad-1-Thread;Q1;1;0;13;Update;Memory;69300224
Naiad-1-Thread;Q1;1;0;13;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;14;Update;Time;1901000
Naiad-1-Thread;Q1;1;0;14;Update;Memory;71417856
Naiad-1-Thread;Q1;1;0;14;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;15;Update;Time;1539700
Naiad-1-Thread;Q1;1;0;15;Update;Memory;71417856
Naiad-1-Thread;Q1;1;0;15;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;16;Update;Time;1051300
Naiad-1-Thread;Q1;1;0;16;Update;Memory;71483392
Naiad-1-Thread;Q1;1;0;16;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;17;Update;Time;1462800
Naiad-1-Thread;Q1;1;0;17;Update;Memory;71483392
Naiad-1-Thread;Q1;1;0;17;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;18;Update;Time;1783700
Naiad-1-Thread;Q1;1;0;18;Update;Memory;71491584
Naiad-1-Thread;Q1;1;0;18;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;19;Update;Time;2165500
Naiad-1-Thread;Q1;1;0;19;Update;Memory;71491584
Naiad-1-Thread;Q1;1;0;19;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q1;1;0;20;Update;Time;1140400
Naiad-1-Thread;Q1;1;0;20;Update;Memory;71491584
Naiad-1-Thread;Q1;1;0;20;Update;Elements;404236|167197|404315
Naiad-1-Thread;Q2;1;0;0;Initialization;Time;550143600
Naiad-1-Thread;Q2;1;0;0;Initialization;Memory;34181120
Naiad-1-Thread;Q2;1;0;0;Load;Time;45876600
