Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
SQLSolution;Q1;1;0;0;Initialization;Time;1203465352
SQLSolution;Q1;1;0;0;Load;Time;420219620
SQLSolution;Q1;1;0;0;Initial;Time;16326134
SQLSolution;Q1;1;0;0;Initial;Elements;404236|167197|404315
SQLSolution;Q1;1;0;1;Update;Time;31175203
SQLSolution;Q1;1;0;1;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;2;Update;Time;12836036
SQLSolution;Q1;1;0;2;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;3;Update;Time;9132263
SQLSolution;Q1;1;0;3;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;4;Update;Time;9664320
SQLSolution;Q1;1;0;4;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;5;Update;Time;9408337
SQLSolution;Q1;1;0;5;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;6;Update;Time;10675083
SQLSolution;Q1;1;0;6;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;7;Update;Time;6892108
SQLSolution;Q1;1;0;7;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;8;Update;Time;8695140
SQLSolution;Q1;1;0;8;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;9;Update;Time;6985076
SQLSolution;Q1;1;0;9;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;10;Update;Time;6529662
SQLSolution;Q1;1;0;10;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;11;Update;Time;6922078
SQLSolution;Q1;1;0;11;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;12;Update;Time;6107319
SQLSolution;Q1;1;0;12;Update;Elements;167197|404236|404315
SQLSolution;Q1;1;0;13;Update;Time;7097643
SQLSolution;Q1;1;0;13;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;14;Update;Time;10504066
SQLSolution;Q1;1;0;14;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;15;Update;Time;9556505
SQLSolution;Q1;1;0;15;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;16;Update;Time;5730277
SQLSolution;Q1;1;0;16;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;17;Update;Time;7326355
SQLSolution;Q1;1;0;17;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;18;Update;Time;6546292
SQLSolution;Q1;1;0;18;Update;Elements;404236|167197|404315
SQLSolution;Q1;1;0;19;Update;Time;8624681
